EID,Sex,Age,EHQ_Total,Commercial_Use,Full_Pheno
NDARGN205MUG,1,6.514715,66.67,Yes,Yes
NDARUC994BLZ,1,11.902692,93.34,Yes,Yes
NDARVV976GFL,1,7.243212,80,Yes,Yes
NDARAR537GD3,1,8.565594,86.67,Yes,Yes
NDARXM551CTE,0,10.648984,54.47,Yes,Yes
NDARLD501HDK,1,9.304357,100,Yes,Yes
NDARZL162HZH,0,10.090006,46.67,Yes,Yes
NDARAC688ZM5,1,5.26386,73.34,Yes,Yes
NDARAV082JHA,1,6.58339,-6.67,Yes,Yes
NDARCM677TC1,0,11.040155,53.34,Yes,Yes
NDARRG973HJQ,0,8.001254,100,Yes,Yes
NDARAB653ZXP,0,12.009924,100,Yes,Yes
NDARFP100DJL,1,7.135979,-6.67,Yes,Yes
NDARBG605BAR,1,12.819758,96.67,Yes,Yes
NDARGY381RCN,0,7.89733,64.47,Yes,Yes
NDARLV311HWL,1,11.866872,86.67,Yes,Yes
NDARDG644LJX,0,13.95916,82.27,Yes,Yes
NDARYU737PY0,0,15.262491,66.67,Yes,Yes
NDARTX843YTH,0,12.636322,-66.67,Yes,Yes
NDARNT461KNF,0,8.546429,-91.14,Yes,Yes
NDARJJ412DN7,0,9.685375,-26.68,Yes,Yes
NDARYZ433UL5,0,5.827743,93.34,Yes,Yes
NDARYX965RWP,0,12.102327,83.4,Yes,Yes
NDARHC562JGU,1,9.717773,73.34,Yes,Yes
NDARYL102HCY,0,11.510951,100,Yes,Yes
NDARRV955LPW,1,9.200205,43.35,Yes,Yes
NDARBF998MBA,1,12.628108,100,Yes,Yes
NDARWY550FH5,1,17.337211,72.27,Yes,Yes
NDARRZ640EG2,1,13.17853,93.34,Yes,Yes
NDARYM574WCX,1,9.794889,-73.34,Yes,Yes
NDARLL176DJR,0,5.515628,20,Yes,Yes
NDARUF210FRD,0,17.523271,81.14,Yes,Yes
NDARZN123CKG,0,8.408966,51.14,Yes,Yes
NDARXP873PZZ,1,9.717773,100,Yes,Yes
NDARAC923GPW,0,12.094113,6.67,Yes,Yes
NDARTL496EKV,0,8.674423,73.34,Yes,Yes
NDARHD841JAE,0,9.506844,53.34,Yes,Yes
NDARMX591FJ6,0,5.709445,-33.35,Yes,Yes
NDARZU615HUG,1,10.144877,75.54,Yes,Yes
NDARPA750HZ1,0,7.111225,93.34,Yes,Yes
NDARGN151YEY,0,6.678644,100,Yes,Yes
NDARTE551TFV,0,7.89425,100,Yes,Yes
NDAREF477BLT,0,13.255532,4.47,Yes,Yes
NDARBG819PT9,0,6.016084,100,Yes,Yes
NDARLK034DJB,1,10.747091,100,Yes,Yes
NDARNP956FPR,0,11.766255,60,Yes,Yes
NDARAR935TGZ,0,8.534907,46.67,Yes,Yes
NDARTF378MX6,1,11.856262,86.67,Yes,Yes
NDARCM027TAV,0,9.422085,33.35,Yes,Yes
NDAREK109WK1,0,9.072096,73.34,Yes,Yes
NDARVV095CTT,0,10.878964,66.67,Yes,Yes
NDARHB233MT2,1,5.718229,53.34,Yes,Yes
NDARYR958FZ9,0,8.896303,86.67,Yes,Yes
NDARLL846UYQ,0,12.00673,66.7,Yes,No
NDARGB101GUF,1,13.619666,86.71,Yes,No
NDARGL586HN9,1,14.106433,-46.69,Yes,No
NDARPX098XYT,0,8.55681,73.37,Yes,No
NDARJF479TBL,0,9.394592,-60.03,Yes,No
NDARBK739HXR,0,14.782683,71.17,Yes,No
NDARAY761BFH,0,8.537873,40.02,Yes,No
NDARYK713TGJ,1,10.139858,100.05,Yes,No
NDARRG028CAD,0,10.120123,40.02,Yes,No
NDARAA773LUW,1,13.638945,100.05,Yes,No
NDARUM624FW7,0,8.729865,86.71,Yes,No
NDARXU975RAJ,1,9.945471,43.35,Yes,No
NDARBT579AW1,0,11.267396,100.05,Yes,No
NDARHV743KA4,1,6.054642,67.83,Yes,No
NDARHD403ZHG,0,6.747661,33.35,Yes,No
NDARLT946JYZ,0,7.511521,84.51,Yes,No
NDARAZ069DBL,0,9.07723,90.05,Yes,No
NDARXJ180NAB,0,10.265799,-93.38,Yes,No
NDARXC058VZG,0,10.788615,80.04,Yes,No
